Topic,Characteristics,Total,Male,Female
Knowledge of official languages,English and French,46860,19570,27290
Knowledge of official languages,Neither English nor French,5175,1960,3210
First official language spoken,Total - First official language spoken for the total population excluding institutional residents - 100% data,640990,312940,328045
First official language spoken,English,624055,305645,318410
First official language spoken,French,9705,4450,5255
First official language spoken,English and French,2235,980,1250
First official language spoken,Neither English nor French,5000,1870,3130
First official language spoken,Official language minority (number),10820,4940,5880
First official language spoken,Official language minority (percentage),1.7,1.6,1.8
Mother tongue,Total - Mother tongue for the total population excluding institutional residents - 100% data,640990,312940,328050
Mother tongue,Single responses,627700,306560,321140
Mother tongue,Official languages,529450,259625,269825
Mother tongue,English,519815,255200,264610
Mother tongue,French,9635,4420,5210
Mother tongue,Non-official languages,98250,46940,51310
Mother tongue,Aboriginal languages,50,20,30
Mother tongue,Algonquian languages,25,10,15
Mother tongue,Blackfoot,0,0,0
Mother tongue,Cree-Montagnais languages,15,5,10
Mother tongue,Atikamekw,0,0,0
Mother tongue,Montagnais (Innu),0,0,0
Mother tongue,Moose Cree,0,0,0
Mother tongue,Naskapi,0,0,0
Mother tongue,Northern East Cree,0,0,0
Mother tongue,Plains Cree,0,0,0
Mother tongue,Southern East Cree,0,0,0
Mother tongue,Swampy Cree,0,0,0
Mother tongue,Woods Cree,5,0,0
Mother tongue,Cree; n.o.s.,5,5,0
Mother tongue,Eastern Algonquian languages,0,0,0
Mother tongue,Malecite,0,0,0
Mother tongue,Mi'kmaq,0,0,0
Mother tongue,Ojibway-Potawatomi languages,15,10,5
Mother tongue,Algonquin,0,0,0
Mother tongue,Ojibway,10,5,5
Mother tongue,Oji-Cree,0,0,0
Mother tongue,Ottawa (Odawa),0,0,0
Mother tongue,Algonquian languages; n.i.e.,0,0,0
Mother tongue,Athabaskan languages,0,0,0
Mother tongue,Northern Athabaskan languages,0,0,0
Mother tongue,Babine (Wetsuwet'en),0,0,0
Mother tongue,Beaver,0,0,0
Mother tongue,Carrier,0,0,0
Mother tongue,Chilcotin,0,0,0
Mother tongue,Dene,0,0,0
Mother tongue,Dogrib (Tlicho),0,0,0
Mother tongue,Gwich'in,0,0,0
Mother tongue,Sarsi (Sarcee),0,0,0
Mother tongue,Sekani,0,0,0
Mother tongue,Slavey-Hare languages,0,0,0
Mother tongue,North Slavey (Hare),0,0,0
Mother tongue,South Slavey,0,0,0
Mother tongue,Slavey; n.o.s.,0,0,0
Mother tongue,Tahltan languages,0,0,0
Mother tongue,Kaska (Nahani),0,0,0
Mother tongue,Tahltan,0,0,0
Mother tongue,Tutchone languages,0,0,0
Mother tongue,Northern Tutchone,0,0,0
Mother tongue,Southern Tutchone,0,0,0
Mother tongue,Athabaskan languages; n.i.e.,0,0,0
Mother tongue,Haida,0,0,0
Mother tongue,Inuit languages,5,0,5
Mother tongue,Inuinnaqtun (Inuvialuktun),0,0,0
Mother tongue,Inuktitut,5,5,5
Mother tongue,Inuit languages; n.i.e.,5,0,0
Mother tongue,Iroquoian languages,5,0,0
Mother tongue,Cayuga,0,0,0
Mother tongue,Mohawk,5,0,5
Mother tongue,Oneida,0,0,0
Mother tongue,Iroquoian languages; n.i.e.,0,0,0
Mother tongue,Kutenai,0,0,0
Mother tongue,Michif,0,0,0
Mother tongue,Salish languages,0,0,0
Mother tongue,Comox,0,0,0
Mother tongue,Halkomelem,0,0,0
Mother tongue,Lillooet,0,0,0
Mother tongue,Okanagan,0,0,0
Mother tongue,Shuswap (Secwepemctsin),0,0,0
Mother tongue,Squamish,0,0,0
Mother tongue,Straits,0,0,0
Mother tongue,Thompson (Ntlakapamux),0,0,0
Mother tongue,Salish languages; n.i.e.,0,0,0
Mother tongue,Siouan languages,0,0,0
Mother tongue,Dakota,0,0,0
Mother tongue,Stoney,0,0,0
Mother tongue,Siouan languages; n.i.e.,0,0,0
Mother tongue,Tlingit,0,0,0
Mother tongue,Tsimshian languages,0,0,0
Mother tongue,Gitxsan (Gitksan),0,0,0
Mother tongue,Nisga'a,0,0,0
Mother tongue,Tsimshian,0,0,0
Mother tongue,Wakashan languages,0,0,0
Mother tongue,Haisla,0,0,0
Mother tongue,Heiltsuk,0,0,0
Mother tongue,Kwakiutl (Kwak'wala),0,0,0
Mother tongue,Nuu-chah-nulth (Nootka),0,0,0
Mother tongue,Wakashan languages; n.i.e.,0,0,0
Mother tongue,Aboriginal languages; n.o.s.,10,5,5
Mother tongue,Non-Aboriginal languages,98200,46915,51280
Mother tongue,Afro-Asiatic languages,5340,2810,2525
Mother tongue,Berber languages,5,0,0
Mother tongue,Kabyle,0,0,0
Mother tongue,Berber languages; n.i.e.,5,0,5
Mother tongue,Cushitic languages,190,90,105
Mother tongue,Bilen,0,0,0
Mother tongue,Oromo,30,15,15
Mother tongue,Somali,155,70,85
Mother tongue,Cushitic languages; n.i.e.,5,5,5
Mother tongue,Semitic languages,5145,2720,2425
Mother tongue,Amharic,215,115,100
Mother tongue,Arabic,4345,2305,2035
Mother tongue,Assyrian Neo-Aramaic,50,30,20
Mother tongue,Chaldean Neo-Aramaic,10,5,10
Mother tongue,Harari,70,40,35
Mother tongue,Hebrew,60,40,20
Mother tongue,Maltese,295,145,150
Mother tongue,Tigrigna,75,30,40
Mother tongue,Semitic languages; n.i.e.,25,10,15
Mother tongue,Afro-Asiatic languages; n.i.e.,5,5,0
Mother tongue,Austro-Asiatic languages,970,425,545
Mother tongue,Khmer (Cambodian),55,20,30
Mother tongue,Vietnamese,910,400,510
Mother tongue,Austro-Asiatic languages; n.i.e,5,5,5
Mother tongue,Austronesian languages,7390,3010,4380
Mother tongue,Bikol,15,5,5
Mother tongue,Cebuano,215,80,135
Mother tongue,Fijian,5,5,0
Mother tongue,Hiligaynon,65,25,40
Mother tongue,Ilocano,190,75,110
Mother tongue,Malagasy,5,0,5
Mother tongue,Malay,175,75,100
Mother tongue,Pampangan (Kapampangan; Pampango),70,40,35
Mother tongue,Pangasinan,15,5,5
Mother tongue,Tagalog (Pilipino; Filipino),6605,2695,3915
Mother tongue,Waray-Waray,10,5,5
Mother tongue,Austronesian languages; n.i.e.,25,10,15
Mother tongue,Creole languages,395,170,220
Mother tongue,Haitian Creole,25,15,15
Mother tongue,Creole; n.o.s.,190,90,100
Mother tongue,Creole languages; n.i.e.,180,75,105
Mother tongue,Dravidian languages,8990,4385,4600
Mother tongue,Kannada,65,35,35
Mother tongue,Malayalam,730,360,365
Mother tongue,Tamil,7865,3820,4040
Mother tongue,Telugu,320,160,155
Mother tongue,Dravidian languages; n.i.e.,15,10,10
Mother tongue,Hmong-Mien languages,0,0,0
Mother tongue,Indo-European languages,62745,30400,32340
Mother tongue,Albanian,220,105,115
Mother tongue,Armenian,415,205,210
Mother tongue,Balto-Slavic languages,11115,5070,6040
Mother tongue,Baltic languages,230,105,130
Mother tongue,Latvian,150,65,85
Mother tongue,Lithuanian,80,40,40
Mother tongue,Slavic languages,10880,4970,5910
Mother tongue,Belarusan,10,5,5
Mother tongue,Bosnian,40,25,25
Mother tongue,Bulgarian,160,70,85
Mother tongue,Croatian,545,290,260
Mother tongue,Czech,280,125,155
Mother tongue,Macedonian,1665,805,865
Mother tongue,Polish,4375,1920,2450
Mother tongue,Russian,1195,510,685
Mother tongue,Serbian,570,310,270
Mother tongue,Serbo-Croatian,70,35,30
Mother tongue,Slovak,285,110,175
Mother tongue,Slovene (Slovenian),290,140,150
Mother tongue,Ukrainian,1335,595,745
Mother tongue,Slavic languages; n.i.e.,50,25,20
Mother tongue,Celtic languages,70,30,35
Mother tongue,Scottish Gaelic,35,15,20
Mother tongue,Welsh,30,10,15
Mother tongue,Celtic languages; n.i.e.,5,10,0
Mother tongue,Germanic languages,6935,3130,3805
Mother tongue,Afrikaans,120,55,65
Mother tongue,Danish,190,90,100
Mother tongue,Dutch,2390,1110,1280
Mother tongue,Frisian,80,35,45
Mother tongue,German,3935,1745,2190
Mother tongue,Icelandic,10,0,10
Mother tongue,Norwegian,55,25,30
Mother tongue,Swedish,100,45,50
Mother tongue,Vlaams (Flemish),45,15,30
Mother tongue,Yiddish,10,5,5
Mother tongue,Germanic languages; n.i.e.,0,0,0
Mother tongue,Greek,2515,1285,1225
Mother tongue,Indo-Iranian languages,24735,12305,12430
Mother tongue,Indo-Aryan languages,18940,9385,9560
Mother tongue,Bengali,1615,790,830
Mother tongue,Gujarati,2725,1350,1380
Mother tongue,Hindi,1740,845,890
Mother tongue,Kashmiri,5,0,5
Mother tongue,Konkani,85,35,45
Mother tongue,Marathi,135,60,75
Mother tongue,Nepali,60,25,30
Mother tongue,Oriya (Odia),15,10,5
Mother tongue,Punjabi (Panjabi),2500,1245,1255
Mother tongue,Sindhi,325,160,160
Mother tongue,Sinhala (Sinhalese),635,300,335
Mother tongue,Urdu,9095,4555,4540
Mother tongue,Iranian languages,5740,2895,2850
Mother tongue,Kurdish,70,40,30
Mother tongue,Pashto,595,305,290
Mother tongue,Persian (Farsi),5080,2545,2530
Mother tongue,Indo-Iranian languages; n.i.e.,50,25,25
Mother tongue,Italic (Romance) languages,16740,8270,8475
Mother tongue,Catalan,5,0,0
Mother tongue,Italian,6140,3210,2930
Mother tongue,Portuguese,3500,1690,1810
Mother tongue,Romanian,1465,680,785
Mother tongue,Spanish,5625,2685,2940
Mother tongue,Italic (Romance) languages; n.i.e.,10,0,10
Mother tongue,Japanese,225,85,145
Mother tongue,Kartvelian languages,0,0,0
Mother tongue,Georgian,0,0,5
Mother tongue,Korean,755,360,395
Mother tongue,Mongolic languages,0,5,5
Mother tongue,Mongolian,5,5,5
Mother tongue,Niger-Congo languages,1200,570,630
Mother tongue,Akan (Twi),230,115,115
Mother tongue,Bamanankan,5,0,0
Mother tongue,Edo,50,20,25
Mother tongue,Ewe,20,5,10
Mother tongue,Fulah (Pular; Pulaar; Fulfulde),25,10,15
Mother tongue,Ga,25,10,15
Mother tongue,Ganda,15,5,5
Mother tongue,Igbo,95,50,45
Mother tongue,Lingala,35,20,20
Mother tongue,Rundi (Kirundi),25,10,15
Mother tongue,Kinyarwanda (Rwanda),30,10,20
Mother tongue,Shona,90,40,45
Mother tongue,Swahili,175,90,85
Mother tongue,Wolof,5,5,0
Mother tongue,Yoruba,205,100,105
Mother tongue,Niger-Congo languages; n.i.e.,185,85,100
Mother tongue,Nilo-Saharan languages,20,15,5
Mother tongue,Dinka,0,0,0
Mother tongue,Nilo-Saharan languages; n.i.e.,20,15,10
Mother tongue,Sign languages,145,70,75
Mother tongue,American Sign Language,55,25,35
Mother tongue,Quebec Sign Language,0,0,0
Mother tongue,Sign languages; n.i.e,85,45,40
Mother tongue,Sino-Tibetan languages,7590,3470,4115
Mother tongue,Chinese languages,7530,3445,4080
Mother tongue,Cantonese,3145,1455,1690
Mother tongue,Hakka,145,70,80
Mother tongue,Mandarin,3745,1705,2035
Mother tongue,Min Dong,5,0,5
Mother tongue,Min Nan (Chaochow; Teochow; Fukien; Taiwanese),185,85,100
Mother tongue,Wu (Shanghainese),80,40,45
Mother tongue,Chinese; n.o.s.,220,90,130
Mother tongue,Chinese languages; n.i.e.,0,5,0
Mother tongue,Tibeto-Burman languages,60,25,35
Mother tongue,Burmese,15,5,5
Mother tongue,Karenic languages,0,0,0
Mother tongue,Tibetan,35,15,20
Mother tongue,Tibeto-Burman languages; n.i.e.,10,5,10
Mother tongue,Tai-Kadai languages,200,75,130
Mother tongue,Lao,55,30,30
Mother tongue,Thai,140,45,95
Mother tongue,Tai-Kadai languages; n.i.e,0,0,0
Mother tongue,Turkic languages,280,145,135
Mother tongue,Azerbaijani,10,5,5
Mother tongue,Turkish,230,120,110
Mother tongue,Uyghur,25,15,10
Mother tongue,Uzbek,5,0,0
Mother tongue,Turkic languages; n.i.e.,5,5,5
Mother tongue,Uralic languages,1925,905,1025
Mother tongue,Estonian,200,100,100
Mother tongue,Finnish,295,135,155
Mother tongue,Hungarian,1435,665,770
Mother tongue,Uralic languages; n.i.e.,0,0,0
Mother tongue,Other languages; n.i.e.,30,15,15
Mother tongue,Multiple responses,13290,6385,6905
Mother tongue,English and French,1865,880,985
Mother tongue,English and non-official language,10675,5180,5500
Mother tongue,French and non-official language,390,170,225
Mother tongue,English; French and non-official language,360,155,205
Language spoken most often at home,Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,640990,312940,328045
Language spoken most often at home,Single responses,615010,300495,314510
Language spoken most often at home,Official languages,573035,280475,292560
Language spoken most often at home,English,569375,278755,290615
Language spoken most often at home,French,3660,1720,1945
Language spoken most often at home,Non-official languages,41975,20025,21955
Language spoken most often at home,Aboriginal languages,5,5,5
Language spoken most often at home,Algonquian languages,0,5,0
Language spoken most often at home,Blackfoot,0,0,0
Language spoken most often at home,Cree-Montagnais languages,5,0,0
Language spoken most often at home,Atikamekw,0,0,0
Language spoken most often at home,Montagnais (Innu),0,0,0
Language spoken most often at home,Moose Cree,0,0,0
Language spoken most often at home,Naskapi,0,0,0
Language spoken most often at home,Northern East Cree,0,0,0
Language spoken most often at home,Plains Cree,0,0,0
Language spoken most often at home,Southern East Cree,0,0,0
Language spoken most often at home,Swampy Cree,0,0,0
Language spoken most often at home,Woods Cree,0,0,0
Language spoken most often at home,Cree; n.o.s.,5,0,0
Language spoken most often at home,Eastern Algonquian languages,0,0,0
Language spoken most often at home,Malecite,0,0,0
Language spoken most often at home,Mi'kmaq,0,0,0
Language spoken most often at home,Ojibway-Potawatomi languages,0,0,0
Language spoken most often at home,Algonquin,0,0,0
Language spoken most often at home,Ojibway,0,0,0
Language spoken most often at home,Oji-Cree,0,0,0
Language spoken most often at home,Ottawa (Odawa),0,0,0
Language spoken most often at home,Algonquian languages; n.i.e.,0,0,0
Language spoken most often at home,Athabaskan languages,0,0,0
Language spoken most often at home,Northern Athabaskan languages,0,0,0
Language spoken most often at home,Babine (Wetsuwet'en),0,0,0
Language spoken most often at home,Beaver,0,0,0
Language spoken most often at home,Carrier,0,0,0
Language spoken most often at home,Chilcotin,0,0,0
Language spoken most often at home,Dene,0,0,0
Language spoken most often at home,Dogrib (Tlicho),0,0,0
Language spoken most often at home,Gwich'in,0,0,0
Language spoken most often at home,Sarsi (Sarcee),0,0,0
Language spoken most often at home,Sekani,0,0,0
Language spoken most often at home,Slavey-Hare languages,0,0,0
Language spoken most often at home,North Slavey (Hare),0,0,0
Language spoken most often at home,South Slavey,0,0,0
Language spoken most often at home,Slavey; n.o.s.,0,0,0
Language spoken most often at home,Tahltan languages,0,0,0
Language spoken most often at home,Kaska (Nahani),0,0,0
Language spoken most often at home,Tahltan,0,0,0
Language spoken most often at home,Tutchone languages,0,0,0
Language spoken most often at home,Northern Tutchone,0,0,0
Language spoken most often at home,Southern Tutchone,0,0,0
Language spoken most often at home,Athabaskan languages; n.i.e.,0,0,0
Language spoken most often at home,Haida,0,0,0
Language spoken most often at home,Inuit languages,5,0,0
Language spoken most often at home,Inuinnaqtun (Inuvialuktun),0,0,0
Language spoken most often at home,Inuktitut,0,0,0
Language spoken most often at home,Inuit languages; n.i.e.,0,0,0
Language spoken most often at home,Iroquoian languages,0,0,0
Language spoken most often at home,Cayuga,0,0,0
Language spoken most often at home,Mohawk,0,0,0
Language spoken most often at home,Oneida,0,0,0
Language spoken most often at home,Iroquoian languages; n.i.e.,0,0,0
Language spoken most often at home,Kutenai,0,0,0
Language spoken most often at home,Michif,0,0,0
Language spoken most often at home,Salish languages,0,0,0
Language spoken most often at home,Comox,0,0,0
Language spoken most often at home,Halkomelem,0,0,0
Language spoken most often at home,Lillooet,0,0,0
Language spoken most often at home,Okanagan,0,0,0
Language spoken most often at home,Shuswap (Secwepemctsin),0,0,0
Language spoken most often at home,Squamish,0,0,0
Language spoken most often at home,Straits,0,0,0
Language spoken most often at home,Thompson (Ntlakapamux),0,0,0
Language spoken most often at home,Salish languages; n.i.e.,0,0,0
Language spoken most often at home,Siouan languages,0,0,0
Language spoken most often at home,Dakota,0,0,0
Language spoken most often at home,Stoney,0,0,0
Language spoken most often at home,Siouan languages; n.i.e.,0,0,0
Language spoken most often at home,Tlingit,0,0,0
Language spoken most often at home,Tsimshian languages,0,0,0
Language spoken most often at home,Gitxsan (Gitksan),0,0,0
Language spoken most often at home,Nisga'a,0,0,0
Language spoken most often at home,Tsimshian,0,0,0
Language spoken most often at home,Wakashan languages,0,0,0
Language spoken most often at home,Haisla,0,0,0
Language spoken most often at home,Heiltsuk,0,0,0
Language spoken most often at home,Kwakiutl (Kwak'wala),0,0,0
Language spoken most often at home,Nuu-chah-nulth (Nootka),0,0,0
Language spoken most often at home,Wakashan languages; n.i.e.,0,0,0
Language spoken most often at home,Aboriginal languages; n.o.s.,0,0,0
Language spoken most often at home,Non-Aboriginal languages,41970,20025,21950
Language spoken most often at home,Afro-Asiatic languages,2260,1105,1155
Language spoken most often at home,Berber languages,0,0,0
Language spoken most often at home,Kabyle,0,0,0
Language spoken most often at home,Berber languages; n.i.e.,0,0,0
Language spoken most often at home,Cushitic languages,55,25,30
Language spoken most often at home,Bilen,0,0,0
Language spoken most often at home,Oromo,10,5,0
Language spoken most often at home,Somali,40,20,25
Language spoken most often at home,Cushitic languages; n.i.e.,5,0,0
Language spoken most often at home,Semitic languages,2200,1075,1125
Language spoken most often at home,Amharic,70,35,40
Language spoken most often at home,Arabic,1965,960,1000
Language spoken most often at home,Assyrian Neo-Aramaic,30,15,15
Language spoken most often at home,Chaldean Neo-Aramaic,10,0,5
Language spoken most often at home,Harari,35,20,15
Language spoken most often at home,Hebrew,15,10,5
Language spoken most often at home,Maltese,55,25,35
Language spoken most often at home,Tigrigna,10,10,5
Language spoken most often at home,Semitic languages; n.i.e.,10,5,0
Language spoken most often at home,Afro-Asiatic languages; n.i.e.,0,5,0
Language spoken most often at home,Austro-Asiatic languages,570,260,315
Language spoken most often at home,Khmer (Cambodian),20,5,10
Language spoken most often at home,Vietnamese,555,250,305
Language spoken most often at home,Austro-Asiatic languages; n.i.e,0,0,0
Language spoken most often at home,Austronesian languages,2370,1070,1300
Language spoken most often at home,Bikol,5,0,0
Language spoken most often at home,Cebuano,65,25,35
Language spoken most often at home,Fijian,0,0,0
Language spoken most often at home,Hiligaynon,10,0,5
Language spoken most often at home,Ilocano,40,15,25
Language spoken most often at home,Malagasy,5,0,5
Language spoken most often at home,Malay,40,15,25
Language spoken most often at home,Pampangan (Kapampangan; Pampango),20,10,10
Language spoken most often at home,Pangasinan,0,0,0
Language spoken most often at home,Tagalog (Pilipino; Filipino),2180,985,1195
Language spoken most often at home,Waray-Waray,0,0,0
Language spoken most often at home,Austronesian languages; n.i.e.,5,5,5
Language spoken most often at home,Creole languages,140,65,75
Language spoken most often at home,Haitian Creole,10,10,5
Language spoken most often at home,Creole; n.o.s.,70,35,40
Language spoken most often at home,Creole languages; n.i.e.,55,25,25
Language spoken most often at home,Dravidian languages,5645,2685,2955
Language spoken most often at home,Kannada,20,10,10
Language spoken most often at home,Malayalam,355,180,175
Language spoken most often at home,Tamil,5095,2415,2690
Language spoken most often at home,Telugu,160,80,80
Language spoken most often at home,Dravidian languages; n.i.e.,5,0,0
Language spoken most often at home,Hmong-Mien languages,0,0,0
Language spoken most often at home,Indo-European languages,24495,11690,12805
Language spoken most often at home,Albanian,105,50,50
Language spoken most often at home,Armenian,170,85,85
Language spoken most often at home,Balto-Slavic languages,3815,1760,2055
Language spoken most often at home,Baltic languages,30,15,15
Language spoken most often at home,Latvian,15,5,10
Language spoken most often at home,Lithuanian,15,10,5
Language spoken most often at home,Slavic languages,3785,1750,2040
Language spoken most often at home,Belarusan,0,0,0
Language spoken most often at home,Bosnian,5,5,0
Language spoken most often at home,Bulgarian,75,40,40
Language spoken most often at home,Croatian,125,65,65
Language spoken most often at home,Czech,70,30,35
Language spoken most often at home,Macedonian,520,240,280
Language spoken most often at home,Polish,1700,800,895
Language spoken most often at home,Russian,595,260,335
Language spoken most often at home,Serbian,240,120,125
Language spoken most often at home,Serbo-Croatian,25,10,10
Language spoken most often at home,Slovak,80,35,45
Language spoken most often at home,Slovene (Slovenian),50,20,30
Language spoken most often at home,Ukrainian,290,120,170
Language spoken most often at home,Slavic languages; n.i.e.,10,0,5
Language spoken most often at home,Celtic languages,5,5,5
Language spoken most often at home,Scottish Gaelic,5,0,0
Language spoken most often at home,Welsh,5,0,0
Language spoken most often at home,Celtic languages; n.i.e.,0,0,0
Language spoken most often at home,Germanic languages,535,225,310
Language spoken most often at home,Afrikaans,40,25,20
Language spoken most often at home,Danish,5,5,5
Language spoken most often at home,Dutch,135,50,80
Language spoken most often at home,Frisian,5,0,0
Language spoken most often at home,German,330,135,195
Language spoken most often at home,Icelandic,0,0,5
Language spoken most often at home,Norwegian,0,0,5
Language spoken most often at home,Swedish,10,5,5
Language spoken most often at home,Vlaams (Flemish),0,0,0
Language spoken most often at home,Yiddish,5,0,0
Language spoken most often at home,Germanic languages; n.i.e.,0,0,0
Language spoken most often at home,Greek,635,305,325
Language spoken most often at home,Indo-Iranian languages,13590,6590,7000
Language spoken most often at home,Indo-Aryan languages,10310,5000,5310
Language spoken most often at home,Bengali,905,430,475
Language spoken most often at home,Gujarati,1395,675,715
Language spoken most often at home,Hindi,810,390,420
Language spoken most often at home,Kashmiri,0,0,0
Language spoken most often at home,Konkani,20,10,10
Language spoken most often at home,Marathi,70,35,35
Language spoken most often at home,Nepali,30,15,20
Language spoken most often at home,Oriya (Odia),10,5,5
Language spoken most often at home,Punjabi (Panjabi),1270,620,655
Language spoken most often at home,Sindhi,95,45,55
Language spoken most often at home,Sinhala (Sinhalese),230,110,115
Language spoken most often at home,Urdu,5475,2675,2805
Language spoken most often at home,Iranian languages,3265,1580,1690
Language spoken most often at home,Kurdish,30,15,10
Language spoken most often at home,Pashto,345,170,175
Language spoken most often at home,Persian (Farsi),2895,1395,1495
Language spoken most often at home,Indo-Iranian languages; n.i.e.,15,5,5
Language spoken most often at home,Italic (Romance) languages,5650,2675,2970
Language spoken most often at home,Catalan,0,0,0
Language spoken most often at home,Italian,1345,595,750
Language spoken most often at home,Portuguese,1055,490,570
Language spoken most often at home,Romanian,710,330,380
Language spoken most often at home,Spanish,2535,1260,1270
Language spoken most often at home,Italic (Romance) languages; n.i.e.,0,0,0
Language spoken most often at home,Japanese,95,35,55
Language spoken most often at home,Kartvelian languages,0,0,0
Language spoken most often at home,Georgian,0,0,0
Language spoken most often at home,Korean,420,210,205
Language spoken most often at home,Mongolic languages,5,0,0
Language spoken most often at home,Mongolian,5,5,0
Language spoken most often at home,Niger-Congo languages,295,135,160
Language spoken most often at home,Akan (Twi),70,35,40
Language spoken most often at home,Bamanankan,0,0,0
Language spoken most often at home,Edo,5,0,0
Language spoken most often at home,Ewe,5,0,0
Language spoken most often at home,Fulah (Pular; Pulaar; Fulfulde),5,5,5
Language spoken most often at home,Ga,0,0,0
Language spoken most often at home,Ganda,5,0,5
Language spoken most often at home,Igbo,10,5,5
Language spoken most often at home,Lingala,15,5,5
Language spoken most often at home,Rundi (Kirundi),20,5,15
Language spoken most often at home,Kinyarwanda (Rwanda),10,5,10
